Organic compounds derived from $NH_3$ by replacing one or more hydrogen atoms with organic groups are called _____.,Amines
How is an amine classified if the nitrogen atom is bonded to exactly one organic group?,Primary amine
What is the general formula for a secondary amine?,$R_2NH$
An amine in which the nitrogen atom is bonded to three organic groups is classified as a _____ amine.,Tertiary
What is the hybridization of the nitrogen atom in a typical amine?,$sp^3$
"What geometry does the nitrogen atom in an amine adopt, accounting for its lone pair and three $\sigma$-bonds?",Pyramidal
What is the name of a tetrahedral ion with the general formula $R_4N^+$?,Quaternary ammonium ion
What characteristic functional group is represented by the formula $-NH_2$?,Amino group
Why are primary and secondary amines generally expected to have higher boiling points than tertiary amines of similar molar mass?,They can form intermolecular hydrogen bonds via their $N-H$ groups.
"Which specific class of organic compounds is responsible for the pungent stench of decaying flesh, such as putrescine and cadaverine?",Amines
"Under the IUPAC system, what suffix is added to the names of organic groups to name an amine?",-amine
How is the $-NH_2$ group named when it is treated as a substituent in a complex molecule?,Amino-
Concept: Amines,Definition: Weakly basic organic compounds containing a nitrogen atom with a lone pair. Example: Methylamine ($CH_3NH_2$).
What organic compound is formed by the condensation reaction between a carboxylic acid and an amine?,Amide
What is the characteristic functional group of an amide?,$-CONR_2$ (Amido group)
The condensation reaction to form an amide from a carboxylic acid and an amine involves the loss of a _____ molecule.,$H_2O$
What is the systematic name for the common amide used as the pain-reliever Tylenol?,Acetaminophen
"In the mechanism of amide formation, what role does the amine play when it attacks the carbonyl carbon of the carboxylic acid?",Nucleophile
Which synthetic polymer is a well-known example of a polyamide formed via condensation?,Nylon
What specific name is given to the amide bond that links amino acids together in a protein?,Peptide bond
Amino acids are characterized by containing both a carboxyl group and a(n) _____ group in the same molecule.,Amino
"At a pH near 7, amino acids exist as a 'hybrid ion' called a _____.",Zwitterion
"In the zwitterionic form of an amino acid, which group is protonated?",The amino group (to $-NH_3^+$)
"In the zwitterionic form of an amino acid, which group is deprotonated?",The carboxyl group (to $-COO^-$)
The biochemical reaction between an amine and an aldehyde or ketone produces a functional group known as a(n) _____.,Imine (or Schiff base)
Formula: $R-N=C$ group,Name: Imino group (characteristic of imines or Schiff bases)
What is the intermediate formed during the first step of imine formation before the elimination of water?,Carbinolamine
"In biochemistry, the $\epsilon$-amino group is a characteristic feature of the side chain of which amino acid?",Lysine
What is the IUPAC name for $(CH_3)_2NH$?,Dimethylamine
What is the IUPAC name for $CH_3CH_2CH_2NH_2$?,Propylamine (or 1-aminopropane)
Which type of nitrogenous functional group is found in the exocyclic positions of purine and pyrimidine bases in DNA?,Amino groups
The bond connecting an anomeric carbon of a sugar to the nitrogen of a base in a nucleic acid is called a(n) _____ bond.,$N-Glycosidic$
"In very acidic solutions (low pH), what is the protonation state of the functional groups in an amino acid?",Both the amino group and the carboxyl group are protonated.
"In very basic solutions (high pH), what is the protonation state of the functional groups in an amino acid?",Both the amino group and the carboxyl group are deprotonated.
Concept: Amides,"Definition: Organic compounds containing the $-CONR_2$ group, formed by condensing a carboxylic acid and an amine. Example: Acetamide ($CH_3CONH_2$)."
Why can primary amides form extensive hydrogen-bonded networks?,They possess two $N-H$ bonds that can act as hydrogen bond donors.
What property allows amines to act as weak bases in aqueous solutions?,The lone pair of electrons on the nitrogen atom can accept a proton.
Amines are generally considered _____ (nucleophiles/electrophiles) because they have a lone pair available for donation.,Nucleophiles
"What is the common name for the simplest amino acid, $NH_2CH_2COOH$?",Glycine
"In the nomenclature of amides, the '-oic acid' suffix of the parent carboxylic acid is replaced with which suffix?",-amide
"When naming a secondary amine like diethylamine, the 'di-' prefix indicates that the nitrogen is bonded to _____ ethyl groups.",Two
Which functional group is found at the end of the carbon chain in a primary amide?,The carbonyl group attached to an $-NH_2$ group.
"In the synthesis of Nylon-66, what intermediate species is formed via proton transfer before the condensation to form amides occurs?",Nylon salt
"Which amino acid side chain contains an imidazole group, which can act as both a nucleophile and a base?",Histidine
The reaction $CH_3COOH + CH_3NH_2 \rightarrow CH_3CO_2^- + CH_3NH_3^+$ describes the formation of a(n) _____.,Ammonium salt
"According to the source material, heating an ammonium salt to approximately $200^\circ C$ typically leads to the formation of a(n) _____.",Amide
What is the prefix used for the $-NH_2$ group in aromatic compounds like aminobenzene?,Amino-
Which class of compounds contains the $-S-S-$ linkage?,Disulfides
An organic compound containing a $-C=N-$ group is technically known as a(n) _____.,Imine
What is the common name for aminobenzene?,Aniline
Which functional group acts as a proton acceptor in the zwitterion form of an amino acid?,The amino group
"In protein structure, the sequence of amino acids linked by amide bonds is called the _____ structure.",Primary
"Tertiary amines like trimethylamine lack _____ bonds, preventing them from forming hydrogen bonds with themselves.",$N-H$
"Which group in an amino acid is attached to the $\alpha$-carbon in addition to the amino group, carboxyl group, and hydrogen atom?",The side chain (or R group)
The functional group characterized by a nitrogen atom double-bonded to a carbon atom is called the _____ group.,Imino
Amines react with acids to form _____.,Salts (Ammonium salts)
The process of forming a large molecule from many monomers with the elimination of small molecules like water is called _____ polymerization.,Condensation
Which specific functional group is found in the 'head' of a tRNA-amino acid complex (aminoacyl-tRNA)?,Ester (linking amino acid to tRNA)
An organic compound with the formula $CH_3NH_2$ is called _____.,Methylamine
The $-CONH-$ linkage is also known as the _____ group.,Amido