What is the characteristic functional group found in both aldehydes and ketones?,The carbonyl group ($>C=O$).
"In an aldehyde, where is the carbonyl group located on the carbon chain?",At the end of the carbon chain.
"In a ketone, where is the carbonyl group located on the carbon chain?",At an intermediate position (between two carbon atoms).
What is the general formula for an aliphatic aldehyde?,$RCHO$
What is the general formula for a ketone?,$RCOR'$ (where $R$ and $R'$ are organic groups).
"To form the IUPAC name of an aldehyde, the suffix $-e$ of the parent alkane is replaced with _____.",$-al$
"To form the IUPAC name of a ketone, the suffix $-e$ of the parent alkane is replaced with _____.",$-one$
"What is the IUPAC name for the simplest aldehyde, $HCHO$?",Methanal
What is the common name for methanal ($HCHO$)?,Formaldehyde
What is the IUPAC name for the aldehyde $CH_3CHO$?,Ethanal
What is the common name for ethanal ($CH_3CHO$)?,Acetaldehyde
"What is the IUPAC name for the simplest ketone, $CH_3COCH_3$?",Propanone
What is the common name for propanone ($CH_3COCH_3$)?,Acetone
Which specific aldehyde is used as the primary flavoring agent in bitter almond oil?,Benzaldehyde ($C_6H_5CHO$)
Why is the carbon atom of a carbonyl group considered electrophilic?,It has a partial positive charge ($\delta^+$) due to the electron-withdrawing property of the electronegative oxygen.
Which compound class is more easily oxidized: aldehydes or ketones?,Aldehydes
What is the typical product when an aldehyde is oxidized?,A carboxylic acid ($-COOH$)
The Tollens test uses a solution of _____ ions in aqueous ammonia to distinguish aldehydes from ketones.,$Ag^+$
What visual evidence indicates a positive Tollens test for an aldehyde?,The formation of a silver mirror on the test-tube walls.
How does a ketone typically react in a Tollens test?,There is no reaction.
What is the common name for a $40\%$ aqueous solution of formaldehyde used to preserve biological specimens?,Formalin
What is the IUPAC name for the ketone commonly known as methyl ethyl ketone (MEK)?,Butanone
"When naming an aldehyde, which carbon atom is always designated as carbon 1?",The carbonyl carbon ($C$ in $-CHO$).
"In naming ketones, how is the carbon chain numbered to locate the carbonyl group?",In the direction that gives the carbonyl carbon the lowest possible number.
"According to the source, what is the IUPAC name for $CH_3CH_2CH_2COCH_3$?",$2$-pentanone
A sugar whose carbonyl group is an aldehyde is called a(n) _____.,aldose
A sugar whose carbonyl group is a ketone is called a(n) _____.,ketose
What type of cyclic structure is formed when an alcohol reacts intramolecularly with an aldehyde group in a monosaccharide?,A cyclic hemiacetal.
What type of cyclic structure is formed when an alcohol reacts intramolecularly with a ketone group in a monosaccharide?,A cyclic hemiketal.
"In sugar chemistry, what is the 'anomeric carbon'?",The new chiral center formed from the carbonyl carbon when a sugar cyclizes.
What is the term for a biochemically important reaction between an amine and an aldehyde or ketone?,Schiff base formation (or imine formation).
What is the organic product of the reaction between a primary amine and a carbonyl group?,An imine (Schiff base).
"Which three-carbon aldose occurs in several metabolic pathways and serves as the basis for the $D, L$ stereoisomer system?",Glyceraldehyde
What type of sugar is $D$-fructose categorized as based on its functional group?,A ketose
What metabolic reaction involves the cleavage of a carbon–carbon bond in a species with a $\beta$ hydroxyl group to yield smaller carbonyl compounds?,Aldol cleavage
"In the context of metabolism, what are 'ketone bodies'?","Acetoacetate, $D$-$\beta$-hydroxybutyrate, and acetone."
Which ketone is a common ingredient in nail polish remover for natural nails?,Acetone
How can the capacity of a carbonyl group to delocalize electrons be further enhanced in biochemical reactions?,By interaction with a general acid catalyst or a metal ion (such as $Mg^{2+}$).
Aldehydes and ketones are often prepared industrially by the oxidation of _____.,alcohols
The oxidation of a secondary alcohol typically produces a(n) _____.,ketone
"The oxidation of a primary alcohol, if not carefully controlled, proceeds past the aldehyde stage to form a(n) _____.",carboxylic acid
What term describes the functional group $R-CO-R'$ in organic chemistry?,Ketone
"According to the IUPAC system, what is the name for $CH_3CH(CH_3)CHO$?",$2$-methylpropanal
What is the suffix for an organic acid produced by the oxidation of an aldose aldehyde group?,$-onic$ acid (forming an aldonic acid).
Which specific ketone is the essential oil of spearmint?,Carvone
"In an aldol condensation, what species serves as the nucleophile?",A carbanion (stabilized by an adjacent carbonyl).
"In an aldol condensation, what part of the second molecule serves as the electrophile?",The carbon of a carbonyl group.
What common laboratory solvent is a ketone with the formula $CH_3COCH_3$?,Propanone (Acetone).
The reaction of an aldehyde or ketone with an alcohol produces a hemiacetal or hemiketal. What is the characteristic linkage in these compounds?,A carbon atom bonded to both an $-OH$ group and an $-OR$ group.
Why do carbonyl groups facilitate the formation of a carbanion on an adjoining carbon?,By delocalizing the carbanion's negative charge into the electronegative oxygen.
What type of bond must be broken for a ketone to be oxidized further into a carboxylic acid?,A $C-C$ bond.
"In the linear expression of an aldehyde, the group is often written as _____.",$-CHO$
"In the linear expression of a ketone, the carbonyl group is written as _____.",$-CO-$
What is the systematic name for the compound $CH_3CH_2CHO$?,Propanal
"Which five-carbon dialdehyde (containing two aldehyde groups) is used to name $2,4$-pentanedione if it were an aldehyde?",Pentanedial
What is the IUPAC name for $CH_3COCH_2CH_3$?,Butanone
What is the common name for the ketone $CH_3COCH_2CH_3$?,Methyl ethyl ketone (MEK).
The carbon of a carbonyl group is an electrophile because the electronegative _____ atom pulls electron density away from it.,oxygen
"In the $D, L$ system for sugars, the configuration of the chiral center is based on the molecule _____.",glyceraldehyde
"A ketohexose, such as fructose, has how many possible stereoisomers?",8 (4 $D$-sugars and 4 $L$-sugars).
Which biochemical process uses 'aldol condensation in reverse' to convert a six-carbon sugar into two three-carbon compounds?,Glycolysis
What is the prefix used for the $-NH_2$ group when it is a substituent on an aldehyde or ketone?,$amino-$
Formaldehyde is prepared industrially by the catalytic oxidation of which alcohol?,Methanol
A pathological condition where ketone bodies are produced in excess of their utilization is known as _____.,ketosis