What is the defining structural feature of an $\alpha$-amino acid?,The amino group and the carboxyl group are both bonded to the same central carbon atom.
Which part of an amino acid's structure is unique for each of the 20 standard amino acids?,"The side chain, or $R$ group."
What is the net charge of an amino acid existing as a zwitterion?,Zero.
Standard amino acids in proteins almost exclusively possess the _____ absolute configuration.,$L$
Why is glycine the only standard amino acid that is not chiral?,"Its side chain is a hydrogen atom, meaning the $\alpha$-carbon is not bonded to four different groups."
Which standard amino acid contains a secondary amino group within a rigid ring structure?,Proline.
The covalent linkage between the $\alpha$-carboxyl group of one amino acid and the $\alpha$-amino group of another is a(n) _____.,peptide bond
What type of chemical reaction results in the formation of a peptide bond?,A condensation (or dehydration) reaction.
In what direction is a polypeptide chain always sequenced and synthesized?,From the $N$-terminus to the $C$-terminus.
Amino acids that must be obtained from the diet because the human body cannot synthesize them are called _____.,essential amino acids
Concept: Isoelectric point ($pI$).,Definition: The specific $pH$ at which a molecule has a net electric charge of zero.
Which level of protein structure is defined by the specific linear sequence of amino acid residues?,Primary structure.
"What stabilizes the secondary structure of a protein, such as the $\alpha$-helix or $\beta$-sheet?",Hydrogen bonds between the carbonyl oxygen and the amide hydrogen of the polypeptide backbone.
Tertiary structure is primarily stabilized by interactions between the _____ of the amino acid residues.,side chains (or $R$ groups)
How is quaternary structure defined in proteins?,"The spatial arrangement and interaction of multiple polypeptide chains, or subunits."
Name the two standard amino acids that contain sulfur.,Cysteine and methionine.
The unit remaining after an amino acid has been incorporated into a peptide chain is called a(n) _____.,residue
What determines whether an ionizable side chain is protonated or deprotonated at a given $pH$?,The $pK_a$ value of that specific functional group.
Which reagent is most commonly used for 'salting out' proteins due to its high solubility and ability to increase ionic strength?,"Ammonium sulfate, $(NH_4)_2SO_4$."
A protein is least soluble in an aqueous solution when the $pH$ is equal to its _____.,isoelectric point ($pI$)
What is a conjugated protein?,A protein that contains permanently associated chemical components in addition to amino acids.
The non-amino acid part of a conjugated protein that is essential for its function is known as a(n) _____.,prosthetic group
Which levels of protein structure are lost during the process of denaturation?,"Secondary, tertiary, and quaternary structures."
Name the three standard aromatic amino acids.,"Phenylalanine, tyrosine, and tryptophan."
Which amino acid is capable of forming covalent disulfide bridges to stabilize tertiary structure?,Cysteine.
"At a $pH$ significantly below its $pK_1$, what is the net charge of a simple amino acid like alanine?",$+1$.
"At a $pH$ significantly above its $pK_2$, what is the net charge of a simple amino acid like alanine?",$-1$.
Which standard amino acids are classified as acidic due to the presence of a carboxyl group in their side chains?,Aspartate (aspartic acid) and glutamate (glutamic acid).
List the three standard amino acids that are classified as basic.,"Lysine, arginine, and histidine."
What is the approximate number of residues in a 'polypeptide' versus an 'oligopeptide'?,"An oligopeptide has only a few residues, whereas a polypeptide contains many, often more than 40."
A peptide consisting of exactly three amino acids linked by two peptide bonds is called a(n) _____.,tripeptide
Which amino acid property allows for the quantification of protein concentration using light absorption at $280\ nm$?,"The presence of aromatic side chains, especially tryptophan and tyrosine."
"In a zwitterion, the protonated amino group acts as a(n) _____, while the deprotonated carboxyl group acts as a(n) _____.",acid; base
Which amino acid side chain contains an imidazole group?,Histidine.
Which amino acid side chain contains a guanidino group?,Arginine.
"The rigid, planar nature of the peptide bond is caused by _____.",resonance between the carbonyl oxygen and the amide nitrogen
What characterizes the 'native fold' of a protein?,The specific three-dimensional conformation that is biologically active.
"In a folded globular protein, where are hydrophobic (nonpolar) amino acids typically located?","In the interior core, shielded from water."
"In a folded globular protein, where are hydrophilic (polar/charged) amino acids typically located?","On the surface, interacting with the aqueous environment."
Which amino acid is often found in $\beta$-turns because its side chain is small enough to avoid steric hindrance?,Glycine.
The repeating sequence of atoms ($-N-C_{\alpha}-C-$) linked by peptide bonds is referred to as the polypeptide _____.,backbone
What is the total number of peptide bonds in a decapeptide?,Nine.
Which amino acid is most likely to be found in the active site of enzymes acting as a general acid-base catalyst near physiological $pH$?,Histidine.
Concept: Proteome.,"Definition: The entire set of proteins expressed by a genome, cell, tissue, or organism at a given time."
Hydrogen bonds in a(n) _____ are parallel to the main axis of the polypeptide chain.,$\alpha$-helix
Hydrogen bonds in a(n) _____ are perpendicular to the main axis of the polypeptide segments.,$\beta$-sheet
What is the primary difference between parallel and antiparallel $\beta$-sheets?,"In parallel sheets, the strands run in the same $N$-to-$C$ direction; in antiparallel sheets, they run in opposite directions."
"Which fibrous protein is a major component of hair, feathers, and nails?",$\alpha$-keratin.
What are the subunits of the protein insulin linked by?,Disulfide bonds.
Which standard amino acid has a thioether group in its side chain?,Methionine.
Term: Dipeptide.,Definition: A molecule formed from two amino acids joined by a single peptide bond.
What describes a protein's 'primary structure'?,The unique sequence of amino acids in a polypeptide chain.
Name the two polar uncharged amino acids that contain hydroxyl groups.,Serine and threonine.
Which amino acid is used as the starting point for numbering a polypeptide chain?,The amino-terminal ($N$-terminal) residue.
The specific region of an enzyme that binds the substrate and performs the reaction is the _____.,active site
Which amino acid is considered a 'helix breaker' because its cyclic structure limits rotation?,Proline.
Term: Zwitterion.,Definition: A molecule with spatially separate positive and negative charges but a net charge of zero.
What is the result of increasing the salt concentration to very high levels in a protein solution?,The protein precipitates (salting out).
Which standard amino acids have side chains that are amide derivatives of acidic amino acids?,Asparagine and glutamine.
What force is primarily responsible for holding multiple subunits together in quaternary structure?,"Noncovalent interactions (such as hydrogen bonds, ionic bonds, and hydrophobic effects)."
How many residues are typically found in one full turn of an $\alpha$-helix?,$3.6$ residues.
The _____ configuration is used for naming amino acids based on their relationship to glyceraldehyde.,"$D, L$"
What defines a simple protein versus a conjugated protein?,Simple proteins contain only amino acid residues; conjugated proteins contain additional non-amino acid groups.
"In the Cahn-Ingold-Prelog ($RS$) system, nearly all chiral amino acids are in the _____ configuration.",$S$
Which standard amino acid has a side chain consisting only of a methyl group?,Alanine.
What is the primary function of enzymes in biological systems?,To act as catalysts that lower the activation energy of chemical reactions.
What characterizes a fibrous protein?,"An elongated, water-insoluble structure that provides strength or flexibility to cells."
What characterizes a globular protein?,"A compact, water-soluble structure that carries out metabolic or regulatory functions."
Which level of protein structure dictates the final three-dimensional conformation?,Primary structure.
"The process of joining amino acids by removing a water molecule is _____, while the process of breaking them apart by adding water is _____.",condensation; hydrolysis
Which standard amino acid is the only one to contain a secondary amine?,Proline.
What is the net charge of the tripeptide Gly-Ala-Val at $pH\ 7$?,Zero.
Concept: Residue.,"Definition: An amino acid unit within a polypeptide chain, missing the atoms lost during peptide bond formation."
Which type of covalent bond (other than the peptide bond) is common in extracellular proteins to stabilize their structure?,Disulfide bonds.
Why is the peptide bond planar?,Because it has partial double-bond character that prevents rotation about the $C-N$ bond.