What operational characteristic defines a substance as a 'lipid'?,Solubility in organic solvents and insolubility in water.
"In terms of molecular weight and subunit structure, how do lipids differ from proteins and nucleic acids?",Lipids have much smaller molecular weights and are not classified as polymers.
What are the three primary biological functions of lipids?,"Structural components of membranes, energy storage, and intra- and intercellular signaling."
The standard carbon chain length for most naturally occurring fatty acids ranges from _____ to _____ carbons.,4 to 36
Why do natural fatty acids almost always contain an even number of carbon atoms?,They are synthesized through the successive addition of two-carbon units.
What is the specific structural definition of a 'saturated' fatty acid?,A hydrocarbon chain containing no double bonds.
What is the typical configuration of double bonds in naturally occurring unsaturated fatty acids?,The cis configuration.
"In polyunsaturated fatty acids, how are the double bonds usually positioned relative to one another?","They are separated by a methylene group (-CH_{2}-), meaning they are not conjugated."
How does increasing the hydrocarbon chain length affect the melting point of a fatty acid?,It increases the melting point.
How does increasing the number of cis double bonds affect the melting point of a fatty acid?,It decreases the melting point.
What physical property of the hydrocarbon chain accounts for the poor water solubility of fatty acids?,The nonpolar nature of the chain.
"At room temperature (25 ^\circ C), what is the physical state of saturated fatty acids with 12 to 24 carbons?",They are waxy solids.
Concept: Triacylglycerols (Triglycerides),Definition: Nonpolar fatty acid triesters of glycerol used primarily for energy storage.
Which specific chemical linkage joins fatty acids to glycerol in triacylglycerols?,Ester linkage.
How do 'fats' and 'oils' differ physically at room temperature?,Fats are solid while oils are liquid.
Why do triacylglycerols provide more energy per gram (38 kJ/g) than carbohydrates (17 kJ/g)?,Fatty acids are in a more highly reduced state than sugars.
What are the two primary biological advantages of storing energy as fat rather than as glycogen?,Higher energy yield per gram and the ability to store fuel without the weight of hydration water.
"In vertebrates, which specialized cells are dedicated to the storage of large amounts of triacylglycerols?",Adipocytes (fat cells).
Concept: Saponification,Definition: The hydrolysis of fats or oils with an alkali to produce glycerol and the salts of fatty acids (soap).
What are biological waxes composed of chemically?,Esters of long-chain fatty acids with long-chain alcohols.
What is the primary biological function of the waxy coatings on plant leaves?,To protect against desiccation by creating a water-impermeable barrier.
What property of waxes makes them ideal for water-repellent coatings in animals?,Their extreme hydrophobicity and high melting points.
Which major class of lipids serves as the primary structural component of biological membranes?,Glycerophospholipids.
To which carbon of the glycerol backbone is the polar head group attached in a glycerophospholipid?,The third carbon (C-3).
What type of chemical linkage connects the polar head group to the glycerol in a phospholipid?,A phosphodiester linkage.
"Glycerol is a _____ molecule, meaning it has no asymmetric carbons but becomes chiral upon the addition of a phosphate group.",Prochiral
Which two fatty acids are most commonly found at the C-1 and C-2 positions of glycerophospholipids?,A C_{16} or C_{18} saturated fatty acid at C-1 and a C_{18} or C_{20} unsaturated fatty acid at C-2.
What are the chemical components of a phosphatidylethanolamine head group?,Ethanolamine attached to a phosphate group.
Which enzyme class is responsible for the specific hydrolysis of fatty acids from glycerophospholipids?,Phospholipases.
Concept: Ether lipids,Definition: Phospholipids where one of the hydrocarbon chains is attached to glycerol via an ether rather than an ester linkage.
What is the identifying structural feature of a plasmalogen?,An ether-linked hydrocarbon chain with a double bond between C-1 and C-2.
How do galactolipids differ from phospholipids in terms of their polar head group?,They contain sugar residues (like galactose) instead of a phosphate group.
Which environment favors the use of ether-linked lipids in Archaeal membranes?,"Extreme conditions such as high temperature, low pH, or high ionic strength."
"What is the structural backbone of sphingolipids, which replaces glycerol?",Sphingosine (a long-chain amino alcohol).
By what type of linkage is a fatty acid joined to the sphingosine backbone in a ceramide?,Amide linkage.
Concept: Sphingomyelins,Definition: Sphingolipids containing phosphocholine or phosphoethanolamine as their polar head groups.
Where are sphingomyelins most prominently found in the human body?,In the myelin sheath surrounding the axons of neurons.
What distinguishes a 'ganglioside' from other glycosphingolipids?,The presence of complex oligosaccharides containing at least one sialic acid residue.
The carbohydrate moieties of certain sphingolipids serve as the defining determinants for _____ groups.,Human blood
What is the characteristic structure of the steroid nucleus found in sterols?,Four fused rings (three six-carbon and one five-carbon).
What is the major sterol found in animal tissues?,Cholesterol.
How does cholesterol affect the physical properties of animal cell membranes?,It modulates fluidity and thickens the plasma membrane.
Sterols serve as the biosynthetic precursors for which two major classes of signaling molecules?,Steroid hormones and bile acids.
Concept: Bile acids,Definition: Polar derivatives of cholesterol that act as detergents in the intestine to emulsify dietary fats.
Which fatty acid is the direct precursor for the synthesis of eicosanoids like prostaglandins?,"Arachidonic acid (20:4(\Delta^{5,8,11,14}))."
Which specific physiological process is regulated by prostaglandins?,"Inflammation, fever, and smooth muscle contraction."
What is the primary function of thromboxanes in the blood?,They stimulate blood clot formation and platelet aggregation.
Vitamin _____ is a hormone precursor that regulates calcium metabolism in the kidneys and bones.,D
Which vitamin serves as the visual pigment in the vertebrate eye?,Vitamin A (retinol).
What is the biological role of Vitamin E (tocopherols)?,They act as antioxidants to protect membrane lipids from oxidative damage.
Which vitamin is essential for the synthesis of proteins required for blood clotting?,Vitamin K.
Concept: Isoprenoids,Definition: A large group of lipids built from five-carbon isoprene units.
"What are dolichols, and what is their function in the cell?",Long-chain isoprenoids that activate and anchor sugar precursors for the biosynthesis of complex carbohydrates.
Why is the lipid bilayer described as 'fluid' in the fluid mosaic model?,Individual lipid and protein molecules can diffuse laterally within the plane of the membrane.
Which energetic force is the primary driver for the spontaneous formation of lipid bilayers in water?,The hydrophobic effect.
Why is 'flip-flop' (transverse diffusion) of lipids across a bilayer extremely slow compared to lateral diffusion?,It requires the highly polar head group to pass through the hydrophobic hydrocarbon core.
Describe the 'liquid-ordered' (L_{o}) state of a lipid bilayer.,"Lipid molecules are tightly packed with regular geometry, and acyl chains are nearly motionless."
How does an increase in temperature affect the physical state of membrane lipids?,It promotes the transition from a liquid-ordered (L_{o}) state to a liquid-disordered (L_{d}) state.
Concept: Lipid raft,"Definition: A stable, semicrystalline region of the membrane enriched in cholesterol and sphingolipids."
Why must lipids be extracted from tissues using organic solvents rather than aqueous buffers?,Lipids are insoluble in water and cluster due to the hydrophobic effect.
"In a mixture of chloroform, methanol, and water, in which layer will the lipids predominantly partition?",The chloroform (bottom) layer.
Which chromatographic technique is most commonly used to separate lipids of different polarities on a silica-coated plate?,Thin-layer chromatography (TLC).
How are neutral lipids like triacylglycerols separated from polar membrane lipids using adsorption chromatography?,By washing the column with solvents of increasing polarity.
Which analytical technique allows for the determination of exact fatty acid chain length and double bond position?,Mass spectrometry (MS).
Concept: Lipidome,"Definition: The full complement of lipid-containing molecules in a cell, organ, or tissue under specific conditions."
How does the 'omega' (w) naming system for fatty acids locate double bonds?,It counts from the methyl end (the carbon furthest from the carboxyl group).
What defines an 'essential' fatty acid for humans?,A fatty acid that cannot be synthesized by the body and must be obtained from the diet.
Why do animal fats tend to be solid at room temperature whereas plant fats are liquid?,Animal fats contain a higher proportion of saturated fatty acids.
"In the context of triacylglycerols, what is a 'mixed' fat?",A triacylglycerol that contains two or more different types of fatty acids.
What is the structural role of perilipins in adipocytes?,They coat the surface of lipid droplets to restrict access and prevent untimely lipid mobilization.
What is the hydrophobic component of a sphingomyelin molecule?,One fatty acid and the hydrocarbon chain of sphingosine.
What is the hydrophilic component of a galactosylcerebroside?,D-galactose.
Why is the storage of hydrophobic fats in the body more efficient for long-term survival than storing glycogen?,Fats are unhydrated and provide more energy per unit mass.
How does the catalytic hydrogenation of vegetable oils affect their physical properties?,"It converts double bonds to single bonds, increasing the melting point and making the oil solid at room temperature."
Which specific lipid acts as a precursor for the hormone that regulates calcium metabolism?,7-Dehydrocholesterol (precursor to Vitamin D_{3}).
Concept: Amphipathic molecule,Definition: A molecule possessing both a hydrophilic (polar) region and a hydrophobic (nonpolar) region.