What three chemical components comprise a single nucleotide?,"A nitrogenous base, a pentose sugar, and at least one phosphate group."
What two components distinguish a nucleoside from a nucleotide?,A nitrogenous base and a pentose sugar (lacking a phosphate group).
How do the ring structures of purines and pyrimidines differ?,"Purines consist of two fused rings, while pyrimidines consist of a single ring."
Which two nitrogenous bases are classified as purines?,Adenine ($A$) and Guanine ($G$).
Which three nitrogenous bases are classified as pyrimidines?,"Cytosine ($C$), Thymine ($T$), and Uracil ($U$)."
What is the specific pentose sugar found in $DNA$ nucleotides?,2'-Deoxyribose.
What is the specific pentose sugar found in $RNA$ nucleotides?,Ribose.
What structural feature at the $C2'$ position distinguishes deoxyribose from ribose?,"Deoxyribose lacks a hydroxyl group ($-OH$) at the $C2'$ position, having a hydrogen ($-H$) instead."
What type of covalent bond links the nitrogenous base to the pentose sugar in a nucleotide?,A $\beta$-glycosidic bond.
At which carbon position on the pentose sugar is the nitrogenous base always attached?,The $C1'$ carbon.
Which nitrogen atom in the purine ring system forms the bond with the pentose sugar?,The $N9$ atom.
Which nitrogen atom in the pyrimidine ring system forms the bond with the pentose sugar?,The $N1$ atom.
At which carbon position on the pentose sugar is the phosphate group typically attached in a standard nucleotide?,The $C5'$ carbon.
What is the typical net charge of a free nucleotide at physiological $pH$?,Negative (anionic).
Which divalent cation is most commonly associated with free nucleotides in cells to balance their charge?,$Mg^{2+}$.
What is the primary biological role of polymeric nucleotides like $DNA$?,The storage and transmission of genetic information.
Which specific nucleotide is the primary 'energy carrier' or transfer agent in cellular metabolism?,Adenosine triphosphate ($ATP$).
Name the nucleoside formed by combining adenine and ribose.,Adenosine.
"Name the nucleotide (monophosphate) formed by combining adenine, ribose, and one phosphate.",Adenylate (or Adenosine monophosphate/$AMP$).
Name the nucleoside formed by combining guanine and ribose.,Guanosine.
"Name the nucleotide (monophosphate) formed by combining guanine, ribose, and one phosphate.",Guanylate (or Guanosine monophosphate/$GMP$).
Name the nucleoside formed by combining cytosine and ribose.,Cytidine.
"Name the nucleotide (monophosphate) formed by combining cytosine, ribose, and one phosphate.",Cytidylate (or Cytidine monophosphate/$CMP$).
Name the nucleoside formed by combining uracil and ribose.,Uridine.
"Name the nucleotide (monophosphate) formed by combining uracil, ribose, and one phosphate.",Uridylate (or Uridine monophosphate/$UMP$).
Name the nucleoside formed by combining thymine and deoxyribose.,Deoxythymidine (or Thymidine).
"Name the nucleotide (monophosphate) formed by combining thymine, deoxyribose, and one phosphate.",Deoxythymidylate (or Thymidylate/$dTMP$).
Which nitrogenous base is unique to $RNA$ and replaces thymine?,Uracil ($U$).
What type of linkage connects the $5'$ phosphate of one nucleotide to the $3'$ hydroxyl of the next in a nucleic acid chain?,A phosphodiester linkage.
What is the physical orientation of nitrogenous bases relative to the long axis of the $DNA$ double helix?,They are nearly planar and stacked perpendicular to the long axis.
How many hydrogen bonds form between an Adenine-Thymine ($A-T$) base pair?,Two.
How many hydrogen bonds form between a Guanine-Cytosine ($G-C$) base pair?,Three.
"According to Watson-Crick base pairing, what base pairs with Guanine?",Cytosine.
"According to Watson-Crick base pairing, what base pairs with Adenine in $DNA$?",Thymine.
Which metabolic pathway synthesizes nucleotides 'anew' from simple precursors like amino acids and $CO_2$?,The *de novo* pathway.
Which metabolic pathway recycles free nitrogenous bases and nucleosides to form nucleotides?,The salvage pathway.
"What is the initial purine nucleotide synthesized in the *de novo* pathway, which serves as a precursor for both $AMP$ and $GMP$?",Inosine monophosphate ($IMP$).
What is the name of the purine base found in the nucleotide $IMP$?,Hypoxanthine.
What is the nucleoside name for the base hypoxanthine linked to ribose?,Inosine.
Which enzyme catalyzes the conversion of ribonucleotides into deoxyribonucleotides?,Ribonucleotide reductase.
What are the common building blocks for the pyrimidine ring in *de novo* biosynthesis?,"Aspartate, $HCO_3^-$, and Glutamine."
What are the common building blocks for the purine ring in *de novo* biosynthesis?,"Glycine, Aspartate, Glutamine, $CO_2$, and Formate."
Which bond in $ATP$ is cleaved to provide the free energy for thermodynamically unfavorable reactions?,"The phosphoanhydride linkage (specifically between the $\alpha$ and $\beta$, or $\beta$ and $\gamma$ phosphates)."
How does the point of attachment differ between uridine and pseudouridine?,"In uridine, uracil attaches via $N1$; in pseudouridine, it attaches via $C5$."
Which nitrogenous bases act as cellular second messengers?,Cyclic $AMP$ ($cAMP$) and cyclic $GMP$ ($cGMP$).
Name two metabolic cofactors that contain an adenosine moiety.,Nicotinamide adenine dinucleotide ($NAD^+$) and Flavin adenine dinucleotide ($FAD$).
What non-covalent interaction between planar base rings helps stabilize the $DNA$ double helix structure?,Base-stacking interactions.
"By convention, in what direction is a single strand of a nucleic acid sequence read?",From the $5'$ end to the $3'$ end ($5' \rightarrow 3'$).
What is the structural effect of $UV$ radiation on adjacent thymine residues in $DNA$?,The formation of cyclobutane pyrimidine dimers (thymine dimers).
Which specific pyrimidine is found in both $DNA$ and $RNA$?,Cytosine ($C$).
Which compound consists of a nitrogenous base covalently linked to a ribose or deoxyribose sugar?,A nucleoside.
What molecule results from the esterification of a nucleoside with one or more phosphate groups?,A nucleotide.
Which purine is characterized by an amino group at the $C6$ position of the ring?,Adenine.
Which purine is characterized by a carbonyl group at $C6$ and an amino group at $C2$?,Guanine.
What is the prefix used to designate nucleotides containing the sugar found in $DNA$?,Deoxy- (abbreviated as '$d$').
Which carbon in the pentose ring is involved in the formation of the phosphodiester bond with the preceding nucleotide's phosphate group?,The $C3'$ carbon.
Are the nitrogenous bases of nucleotides chemically classified as acids or bases?,Bases (specifically weak bases/amines).
What property of the phosphate groups makes the $DNA$ and $RNA$ backbones hydrophilic?,The phosphate groups are ionized and carry a negative charge at physiological $pH$.
"In the $DNA$ double helix, what do the 'major groove' and 'minor groove' represent?",Spaces on the surface of the duplex created by the offset pairing of the two strands.
Which specific base is a methylated derivative of Uracil?,Thymine ($5$-methyluracil).
What essential activated biosynthetic intermediate contains a $UDP$ moiety?,$UDP$-glucose.
What essential carrier of acyl groups in metabolism contains an adenosine derivative?,Coenzyme $A$ ($CoA$).
What process removes the elements of water to form the linkage between a pentose and a nitrogenous base?,Condensation.
Which nitrogenous bases are considered 'heterocyclic' compounds?,"All five major bases: Adenine, Guanine, Cytosine, Thymine, and Uracil."
What is the primary end product of purine degradation in humans?,Uric acid.
The _____ of a cell is the entire sequence of its $DNA$.,Genome